,season,round,constructor,constructor_points,constructor_wins,constructor_standings_pos
0,1991,1,mclaren,0.0,0.0,0.0
1,1991,1,ferrari,0.0,0.0,0.0
2,1991,1,tyrrell,0.0,0.0,0.0
3,1991,1,benetton,0.0,0.0,0.0
4,1991,1,larrousse,0.0,0.0,0.0
5,1991,1,lambo,0.0,0.0,0.0
6,1991,1,ags,0.0,0.0,0.0
7,1991,1,minardi,0.0,0.0,0.0
8,1991,1,jordan,0.0,0.0,0.0
9,1991,1,brabham,0.0,0.0,0.0
10,1991,1,team_lotus,0.0,0.0,0.0
11,1991,1,williams,0.0,0.0,0.0
12,1991,1,footwork,0.0,0.0,0.0
13,1991,1,leyton,0.0,0.0,0.0
14,1991,1,ligier,0.0,0.0,0.0
15,1991,1,dallara,0.0,0.0,0.0
16,1991,1,coloni,0.0,0.0,0.0
17,1991,1,fondmetal,0.0,0.0,0.0
18,1991,2,mclaren,10.0,1.0,1.0
19,1991,2,ferrari,6.0,0.0,2.0
20,1991,2,williams,0.0,0.0,12.0
21,1991,2,benetton,4.0,0.0,4.0
22,1991,2,tyrrell,5.0,0.0,3.0
23,1991,2,larrousse,1.0,0.0,5.0
24,1991,2,lambo,0.0,0.0,6.0
25,1991,2,minardi,0.0,0.0,8.0
26,1991,2,ags,0.0,0.0,7.0
27,1991,2,team_lotus,0.0,0.0,11.0
28,1991,2,jordan,0.0,0.0,9.0
29,1991,2,ligier,0.0,0.0,15.0
30,1991,2,brabham,0.0,0.0,10.0
31,1991,2,dallara,0.0,0.0,16.0
32,1991,2,footwork,0.0,0.0,13.0
33,1991,2,leyton,0.0,0.0,14.0
34,1991,2,fondmetal,0.0,0.0,18.0
35,1991,2,coloni,0.0,0.0,17.0
36,1991,3,mclaren,24.0,2.0,1.0
37,1991,3,ferrari,10.0,0.0,2.0
38,1991,3,williams,6.0,0.0,3.0
39,1991,3,benetton,6.0,0.0,4.0
40,1991,3,tyrrell,5.0,0.0,5.0
41,1991,3,dallara,0.0,0.0,14.0
42,1991,3,minardi,0.0,0.0,8.0
