,season,round,driver,driver_points,driver_wins,driver_standings_pos
0,1991,1,senna,0.0,0.0,0.0
1,1991,1,prost,0.0,0.0,0.0
2,1991,1,piquet,0.0,0.0,0.0
3,1991,1,modena,0.0,0.0,0.0
4,1991,1,satoru_nakajima,0.0,0.0,0.0
5,1991,1,suzuki,0.0,0.0,0.0
6,1991,1,larini,0.0,0.0,0.0
7,1991,1,tarquini,0.0,0.0,0.0
8,1991,1,martini,0.0,0.0,0.0
9,1991,1,gachot,0.0,0.0,0.0
10,1991,1,brundle,0.0,0.0,0.0
11,1991,1,alesi,0.0,0.0,0.0
12,1991,1,hakkinen,0.0,0.0,0.0
13,1991,1,patrese,0.0,0.0,0.0
14,1991,1,moreno,0.0,0.0,0.0
15,1991,1,alboreto,0.0,0.0,0.0
16,1991,1,capelli,0.0,0.0,0.0
17,1991,1,boutsen,0.0,0.0,0.0
18,1991,1,berger,0.0,0.0,0.0
19,1991,1,mansell,0.0,0.0,0.0
20,1991,1,gugelmin,0.0,0.0,0.0
21,1991,1,blundell,0.0,0.0,0.0
22,1991,1,pirro,0.0,0.0,0.0
23,1991,1,morbidelli,0.0,0.0,0.0
24,1991,1,lehto,0.0,0.0,0.0
25,1991,1,bernard,0.0,0.0,0.0
26,1991,1,caffi,0.0,0.0,0.0
27,1991,1,johansson,0.0,0.0,0.0
28,1991,1,comas,0.0,0.0,0.0
29,1991,1,bailey,0.0,0.0,0.0
30,1991,2,senna,10.0,1.0,1.0
31,1991,2,prost,6.0,0.0,2.0
32,1991,2,patrese,0.0,0.0,14.0
33,1991,2,piquet,4.0,0.0,3.0
34,1991,2,berger,0.0,0.0,19.0
35,1991,2,modena,3.0,0.0,4.0
36,1991,2,satoru_nakajima,2.0,0.0,5.0
37,1991,2,alesi,0.0,0.0,12.0
38,1991,2,suzuki,1.0,0.0,6.0
39,1991,2,moreno,0.0,0.0,15.0
40,1991,2,larini,0.0,0.0,7.0
41,1991,2,morbidelli,0.0,0.0,24.0
42,1991,2,tarquini,0.0,0.0,8.0
43,1991,2,hakkinen,0.0,0.0,13.0
44,1991,2,martini,0.0,0.0,9.0
45,1991,2,gachot,0.0,0.0,10.0
46,1991,2,boutsen,0.0,0.0,18.0
47,1991,2,brundle,0.0,0.0,11.0
48,1991,2,pirro,0.0,0.0,23.0
49,1991,2,mansell,0.0,0.0,20.0
50,1991,2,comas,0.0,0.0,29.0
51,1991,2,alboreto,0.0,0.0,16.0
52,1991,2,blundell,0.0,0.0,22.0
53,1991,2,capelli,0.0,0.0,17.0
54,1991,2,bernard,0.0,0.0,26.0
55,1991,2,lehto,0.0,0.0,25.0
56,1991,2,cesaris,0.0,0.0,0.0
57,1991,2,gugelmin,0.0,0.0,21.0
58,1991,2,caffi,0.0,0.0,27.0
59,1991,2,johansson,0.0,0.0,28.0
60,1991,3,senna,20.0,2.0,1.0
61,1991,3,berger,4.0,0.0,5.0
62,1991,3,prost,9.0,0.0,2.0
63,1991,3,patrese,6.0,0.0,3.0
64,1991,3,piquet,6.0,0.0,4.0
65,1991,3,lehto,0.0,0.0,26.0
66,1991,3,martini,0.0,0.0,15.0
67,1991,3,modena,3.0,0.0,6.0
68,1991,3,hakkinen,0.0,0.0,14.0
69,1991,3,satoru_nakajima,2.0,0.0,7.0
70,1991,3,alesi,1.0,0.0,8.0
71,1991,3,suzuki,1.0,0.0,9.0
72,1991,3,bailey,0.0,0.0,0.0
73,1991,3,boutsen,0.0,0.0,17.0
74,1991,3,moreno,0.0,0.0,10.0
75,1991,3,larini,0.0,0.0,11.0
76,1991,3,blundell,0.0,0.0,23.0
77,1991,3,morbidelli,0.0,0.0,12.0
78,1991,3,tarquini,0.0,0.0,13.0
79,1991,3,poele,0.0,0.0,0.0
80,1991,3,gachot,0.0,0.0,16.0
81,1991,3,comas,0.0,0.0,21.0
82,1991,3,brundle,0.0,0.0,18.0
83,1991,3,pirro,0.0,0.0,19.0
84,1991,3,gugelmin,0.0,0.0,28.0
85,1991,3,mansell,0.0,0.0,20.0
86,1991,3,cesaris,0.0,0.0,27.0
87,1991,3,alboreto,0.0,0.0,22.0
88,1991,3,capelli,0.0,0.0,24.0
89,1991,3,bernard,0.0,0.0,25.0
90,1991,4,senna,30.0,3.0,1.0
91,1991,4,prost,9.0,0.0,3.0
92,1991,4,berger,10.0,0.0,2.0
93,1991,4,patrese,6.0,0.0,4.0
94,1991,4,mansell,0.0,0.0,26.0
95,1991,4,piquet,6.0,0.0,5.0
96,1991,4,alesi,1.0,0.0,11.0
97,1991,4,lehto,4.0,0.0,6.0
98,1991,4,moreno,0.0,0.0,15.0
99,1991,4,martini,3.0,0.0,7.0
100,1991,4,modena,3.0,0.0,8.0
101,1991,4,hakkinen,2.0,0.0,9.0
102,1991,4,satoru_nakajima,2.0,0.0,10.0
103,1991,4,pirro,0.0,0.0,24.0
104,1991,4,suzuki,1.0,0.0,12.0
105,1991,4,bailey,1.0,0.0,13.0
106,1991,4,boutsen,0.0,0.0,14.0
107,1991,4,larini,0.0,0.0,16.0
108,1991,4,gachot,0.0,0.0,21.0
109,1991,4,morbidelli,0.0,0.0,18.0
110,1991,4,blundell,0.0,0.0,17.0
111,1991,4,tarquini,0.0,0.0,19.0
