,season,round,circuit_id,driver,date_of_birth,nationality,constructor,grid,time,status,points,podium
0,1991,1,phoenix,senna,1960-03-21,Brazilian,mclaren,1,7247828.0,Finished,10.0,1
1,1991,1,phoenix,prost,1955-02-24,French,ferrari,2,7264150.0,Finished,6.0,2
2,1991,1,phoenix,piquet,1952-08-17,Brazilian,benetton,5,7325204.0,Finished,4.0,3
3,1991,1,phoenix,modena,1963-05-12,Italian,tyrrell,11,7333237.0,Finished,3.0,4
4,1991,1,phoenix,satoru_nakajima,1953-02-23,Japanese,tyrrell,16,,+1 Lap,2.0,5
5,1991,1,phoenix,suzuki,1960-09-08,Japanese,larrousse,21,,+2 Laps,1.0,6
6,1991,1,phoenix,larini,1964-03-19,Italian,lambo,17,,+3 Laps,0.0,7
7,1991,1,phoenix,tarquini,1962-03-02,Italian,ags,22,,+4 Laps,0.0,8
8,1991,1,phoenix,martini,1961-04-23,Italian,minardi,15,,Engine,0.0,9
9,1991,1,phoenix,gachot,1962-12-23,Belgian,jordan,14,,Engine,0.0,10
10,1991,1,phoenix,brundle,1959-06-01,British,brabham,12,,+8 Laps,0.0,11
11,1991,1,phoenix,alesi,1964-06-11,French,ferrari,6,,Gearbox,0.0,12
12,1991,1,phoenix,hakkinen,1968-09-28,Finnish,team_lotus,13,,Engine,0.0,13
13,1991,1,phoenix,patrese,1954-04-17,Italian,williams,3,,Gearbox,0.0,14
14,1991,1,phoenix,moreno,1959-02-11,Brazilian,benetton,8,,Collision,0.0,15
15,1991,1,phoenix,alboreto,1956-12-23,Italian,footwork,25,,Engine,0.0,16
16,1991,1,phoenix,capelli,1963-05-24,Italian,leyton,18,,Gearbox,0.0,17
17,1991,1,phoenix,boutsen,1957-07-13,Belgian,ligier,20,,Engine,0.0,18
18,1991,1,phoenix,berger,1959-08-27,Austrian,mclaren,7,,Fuel pump,0.0,19
19,1991,1,phoenix,mansell,1953-08-08,British,williams,4,,Gearbox,0.0,20
20,1991,1,phoenix,gugelmin,1963-04-20,Brazilian,leyton,23,,Gearbox,0.0,21
21,1991,1,phoenix,blundell,1966-04-08,British,brabham,24,,Spun off,0.0,22
22,1991,1,phoenix,pirro,1962-01-12,Italian,dallara,9,,Gearbox,0.0,23
23,1991,1,phoenix,morbidelli,1968-01-13,Italian,minardi,26,,Gearbox,0.0,24
24,1991,1,phoenix,lehto,1966-01-31,Finnish,dallara,10,,Gearbox,0.0,25
25,1991,1,phoenix,bernard,1964-08-24,French,larrousse,19,,Engine,0.0,26
26,1991,1,phoenix,caffi,1964-03-18,Italian,footwork,0,,Did not qualify,0.0,27
27,1991,1,phoenix,johansson,1956-09-08,Swedish,ags,0,,Did not qualify,0.0,28
28,1991,1,phoenix,comas,1963-09-28,French,ligier,0,,Did not qualify,0.0,29
29,1991,1,phoenix,bailey,1961-10-09,British,team_lotus,0,,Did not qualify,0.0,30
30,1991,2,interlagos,senna,1960-03-21,Brazilian,mclaren,1,5908128.0,Finished,10.0,1
